Date,High,Low,Open,Close,Volume,Adj Close,polarity,subjectivity
2017-01-02,60227.0,59371.0,60227.0,59589.0,808700.0,59589.0,0.0,0.0
2017-01-03,61815.0,59631.0,59631.0,61814.0,3328300.0,61814.0,0.0,0.0
2017-01-04,61940.0,61302.0,61811.0,61589.0,2840800.0,61589.0,0.0,0.0
2017-01-05,62409.0,61594.0,61594.0,62071.0,3313000.0,62071.0,0.0,0.0
2017-01-06,62072.0,61396.0,62072.0,61665.0,2374800.0,61665.0,0.0,0.0
2017-01-09,62112.0,61307.0,61680.0,61700.0,2480800.0,61700.0,0.0,0.0
2017-01-10,62446.0,61710.0,61710.0,62132.0,2623400.0,62132.0,0.0,0.0
2017-01-11,62674.0,61665.0,62134.0,62446.0,3139800.0,62446.0,0.0,0.0
2017-01-12,64342.0,62448.0,62448.0,63954.0,4535000.0,63954.0,0.0,0.0
2017-01-13,64092.0,63366.0,63940.0,63652.0,2735500.0,63652.0,0.0,0.0
2017-01-16,64014.0,63556.0,63652.0,63831.0,1763700.0,63831.0,0.0,0.0
2017-01-17,64658.0,63456.0,63827.0,64354.0,2933800.0,64354.0,1.0,0.1
2017-01-18,64680.0,64063.0,64360.0,64150.0,3008900.0,64150.0,0.5,0.26999999999999996
2017-01-19,64456.0,63574.0,64145.0,63951.0,2867100.0,63951.0,1.0,0.5399999999999999
2017-01-20,64694.0,63951.0,63951.0,64521.0,3416700.0,64521.0,0.0,0.0
2017-01-23,65816.0,64500.0,64519.0,65749.0,2957000.0,65749.0,0.0,0.0
2017-01-24,66173.0,65615.0,65752.0,65840.0,3850500.0,65840.0,0.0,0.0
2017-01-26,66594.0,65842.0,65842.0,66191.0,3494100.0,66191.0,0.0,0.0
2017-01-27,66242.0,65876.0,66195.0,66034.0,2583400.0,66034.0,0.0,0.0
2017-01-30,66025.0,64165.0,66025.0,64302.0,2264300.0,64302.0,1.0,0.1
2017-01-31,64901.0,64284.0,64310.0,64671.0,2737700.0,64671.0,0.0,0.0
2017-02-01,65594.0,64687.0,64687.0,64836.0,3214300.0,64836.0,1.0,0.5
2017-02-02,65132.0,64163.0,64835.0,64578.0,2959200.0,64578.0,0.0,0.0
2017-02-03,65387.0,64264.0,64579.0,64954.0,3482700.0,64954.0,0.0,0.0
2017-02-06,65327.0,63933.0,64957.0,63993.0,2551400.0,63993.0,0.0,0.0
2017-02-07,64815.0,63938.0,64022.0,64199.0,2776200.0,64199.0,0.0,0.0
2017-02-08,64835.0,63740.0,64200.0,64835.0,3138600.0,64835.0,0.0,0.0
2017-02-09,65302.0,64587.0,64850.0,64965.0,2641700.0,64965.0,0.0,0.0
2017-02-10,66292.0,64935.0,64965.0,66125.0,3439000.0,66125.0,0.0,0.0
2017-02-13,67094.0,66125.0,66125.0,66968.0,3108800.0,66968.0,0.0,0.0
2017-02-14,67110.0,66251.0,66971.0,66713.0,3370900.0,66713.0,0.0,0.0
2017-02-15,68016.0,66712.0,66712.0,67976.0,4119600.0,67976.0,0.0,0.0
2017-02-16,68456.0,67661.0,67979.0,67814.0,3550800.0,67814.0,0.0,0.0
2017-02-17,67819.0,67158.0,67814.0,67748.0,2787300.0,67748.0,0.0,0.0
2017-02-20,68674.0,67756.0,67756.0,68533.0,2171300.0,68533.0,0.0,0.0
2017-02-21,69112.0,68536.0,68536.0,69052.0,3051100.0,69052.0,0.0,0.0
2017-02-22,69052.0,68282.0,69052.0,68590.0,3374600.0,68590.0,0.0,0.0
2017-02-23,69488.0,67279.0,68590.0,67461.0,3977800.0,67461.0,0.0,0.0
2017-02-24,67458.0,66452.0,67458.0,66662.0,3059900.0,66662.0,0.0,0.0
2017-03-01,67398.0,66661.0,66661.0,66989.0,2378500.0,66989.0,0.0,0.0
